Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Contaminant,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,# Protein Pathway Groups,# Razor Peptides,"Abundances (Normalized): F1: 126, Sample","Abundances (Normalized): F1: 127N, Sample","Abundances (Normalized): F1: 127C, Sample","Abundances (Normalized): F1: 128N, Sample","Abundances (Normalized): F1: 128C, Sample","Abundances (Normalized): F1: 129N, Sample","Abundances (Normalized): F1: 129C, Sample","Abundances (Normalized): F1: 130N, Sample","Abundances (Normalized): F1: 130C, Sample","Abundances (Normalized): F1: 131N, Sample","Abundances (Normalized): F1: 131C, Sample","Abundance: F1: 126, Sample","Abundance: F1: 127N, Sample","Abundance: F1: 127C, Sample","Abundance: F1: 128N, Sample","Abundance: F1: 128C, Sample","Abundance: F1: 129N, Sample","Abundance: F1: 129C, Sample","Abundance: F1: 130N, Sample","Abundance: F1: 130C, Sample","Abundance: F1: 131N, Sample","Abundance: F1: 131C, Sample","Found in Sample: [S1] F1: 126, Sample","Found in Sample: [S4] F1: 127C, Sample","Found in Sample: [S3] F1: 127N, Sample","Found in Sample: [S6] F1: 128C, Sample","Found in Sample: [S5] F1: 128N, Sample","Found in Sample: [S8] F1: 129C, Sample","Found in Sample: [S7] F1: 129N, Sample","Found in Sample: [S10] F1: 130C, Sample","Found in Sample: [S9] F1: 130N, Sample","Found in Sample: [S12] F1: 131C, Sample","Found in Sample: [S11] F1: 131N, Sample",# Protein Groups,Modifications
FALSE,High,Master Protein,P12270,Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3,0,FALSE,824.523,54,145,259,142,2363,267.1,5.02,865.83,145,0,3,126196.2,131447.7,135525.2,128057.9,130929.1,126635.4,124758.2,132391.5,130692.7,95583,93925.9,63143.7,62371,69240.7,62656.4,52616.1,67179.6,56596.1,64205.2,61129.4,91302.1,93925.9,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,O43707,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,0,FALSE,801.577,80,96,408,67,911,104.8,5.44,1351.66,96,0,34,168142.8,169027.8,168885.9,174981.1,166377.9,164162.3,166187.2,170329.3,172108.1,109698.9,109343.8,84132.1,80202.5,86284.9,85615.1,66861.8,87087.4,75390.2,82603.7,80500.8,104785.9,109343.8,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Q9Y490,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3,0,FALSE,785.007,55,126,262,107,2541,269.6,6.07,831.13,126,0,20,95588.6,93220.7,90394.2,85110,88972.7,90828.9,88397.3,85391,89124.8,155701.7,156181.7,47828.8,44232.6,46183,41642.8,35755.2,48184.3,40101.1,41411.6,41686.7,148728.4,156181.7,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,0,FALSE,782.241,82,73,502,60,646,70.9,5.52,1660.95,73,0,16,234249.8,225573.1,227017.2,225381.8,216385,226444.5,228612.6,226725.1,217738.3,174611.4,175667.2,117209.5,107032.9,115984.5,110275.2,86958.1,120127.9,103709.3,109953.7,101843.6,166791.2,175667.2,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P04075,Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2,0,FALSE,721.646,92,53,769,41,364,39.4,8.09,2919.04,53,0,16,272541.5,267522.2,266827.6,283451.9,261118.1,265836.6,279293.2,275910.1,269736.3,164905.6,163503.8,136369.2,126937.4,136323.9,138687.8,104934.8,141025.3,126700.3,133806.7,126164.8,157520,163503.8,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,0,FALSE,713.174,89,47,687,46,335,36,8.46,2422.63,47,0,1,274760.6,272542.5,275586.3,289090.7,260488.9,281091.5,296658.1,285371.5,271686.9,155986.3,153290.9,137479.5,129319.5,140798.8,141446.8,104681.9,149117.9,134577.8,138395.2,127077.2,149000.2,153290.9,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P14618,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4,0,FALSE,705.85,85,60,407,57,531,57.9,7.84,1358.01,60,0,3,193520.4,197262.7,204275.7,204973,195100.4,198246.5,203683.9,200716.7,200798,157653,156476.5,96830.1,93599.7,104365.7,100289.6,78404.5,105169,92400.4,97340.5,93920,150592.2,156476.5,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P18206,Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4,0,FALSE,693.785,74,101,288,101,1134,123.7,5.66,952.66,101,0,0,156501.7,164091.7,150599.4,169593,160622,146603.9,160033,153763.9,164113.9,99998.2,101143.1,78307.4,77860.3,76942.2,82978.8,64548.7,77772.8,72598.4,74570.1,76761.6,95519.6,101143.1,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,O75369,Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2,0,FALSE,662.373,52,113,199,100,2602,278,5.73,688.43,113,0,13,97110.3,98147.9,95637.5,94678.7,95463,93732.5,94304.8,96616.9,95379.7,85746.2,81921.6,48590.2,46570.5,48861.8,46324.5,38363.5,49724.7,42781,46855.8,44612.3,81906,81921.6,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P10809,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",0,FALSE,658.657,86,72,361,72,573,61,5.87,1320.35,72,0,0,118229.5,115003.6,118841.7,111545,112062.6,120675.3,109798.4,111674,107306.6,149101.4,149279,59157.5,54568.4,60717,54576.9,45034.3,64017.8,49809.6,54158,50190.9,142423.7,149279,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Q5T4S7,E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens OX=9606 GN=UBR4 PE=1 SV=1,0,FALSE,650.205,30,130,205,130,5183,573.5,6.04,598.68,130,0,0,78647.5,77167.5,76391.1,70529.8,80794.7,82108.7,77028,79181.5,74924.2,111464.3,110653.2,39352.2,36615.4,39028.7,34509,32468.7,43558.4,34943.5,38400.2,35044.6,106472.2,110653.2,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P78371,T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4,0,FALSE,644.084,91,61,440,61,535,57.5,6.46,1579.84,61,0,0,133304.1,129833.1,139239.8,134346.5,128357.2,137663.8,131310.6,140132.7,131437.7,88951.5,88839.4,66700.2,61604.9,71138.5,65733.3,51582.6,73030.1,59568.5,67959.4,61477.8,84967.7,88839.4,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P55072,Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4,0,FALSE,636.095,77,72,244,72,806,89.3,5.26,829.37,72,0,0,97469.5,96983.6,102074.1,101210,97106.4,98209.6,98143.9,102991.6,98944.3,60608.8,59934.8,48769.9,46018.1,52150.3,49520.2,39023.9,52099.8,44522.6,49947.3,46279.6,57894.3,59934.8,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Q99832,T-complex protein 1 subunit eta OS=Homo sapiens OX=9606 GN=CCT7 PE=1 SV=2,0,FALSE,635.85,93,64,401,64,543,59.3,7.65,1318.32,64,0,0,159880.6,152198.1,161298.6,156233.5,147999.9,158153.9,153798,162112.3,151437.6,92949.6,92955.2,79998,72216.9,82408.5,76442.2,59476.3,83900,69769.9,78618.7,70832.5,88786.7,92955.2,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P38646,"Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",0,FALSE,613.941,67,63,343,62,679,73.6,6.16,1151.18,63,0,0,178049.4,178110.8,181169.2,178565.6,176971.4,173899.6,176760.4,181462.6,178954.1,122391.1,122281.8,89089,84512.3,92560.5,87368.9,71119,92253,80186.7,88003,83702.9,116909.6,122281.8,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P07814,Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5,0,FALSE,606.145,66,95,223,95,1512,170.5,7.33,672.21,95,0,0,66697.3,61545.4,63979.9,59462.1,62688.5,71294.7,61715.2,53442.3,61215.4,198895.3,196129,33372.7,29202.9,32687.7,29093.7,25192.4,37821.6,27996.9,25917.6,28632.5,189987.5,196129,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P21333,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,0,FALSE,605.532,47,99,182,87,2647,280.6,6.06,584.72,99,0,3,55231.1,54791.3,54679.6,51281.5,54637.2,55911.6,53529.8,52979.5,54690.9,81959.3,82578.7,27635.5,25998.1,27936.2,25091.1,21956.9,29660.9,24283.6,25693.2,25580.8,78288.7,82578.7,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",0,TRUE,603.027,81,41,593,16,375,41.7,5.48,2213.09,41,0,38,198848.5,194468.4,196475,201912.1,195917.3,200794,203446.9,205167.3,197819.7,157115.3,155920,99496,92273.9,100380.3,98791.9,78732.7,106520.4,92292.9,99498.9,92527,150078.6,155920,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P0DMV9,Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1,0,FALSE,586.567,75,65,270,35,641,70,5.66,903.6,65,0,30,92416.3,89866.7,91885.3,89572.4,87432.3,92074.8,89259.5,93489,89171.6,79707.9,79466.2,46241.5,42641.1,46944.8,43826.1,35136.2,48845.3,40492.2,45338.9,41708.6,76138.1,79466.2,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Q92945,Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4,0,FALSE,586.413,73,57,266,50,711,73.1,7.3,1007.17,57,0,7,113673,109564,104341.2,103037.6,104241,104241.9,99847.3,107523,102152.8,67297.4,68413.8,56877.5,51987.3,53308.6,50414.4,41891,55299.9,45295.4,52144.9,47780.3,64283.4,68413.8,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P34932,Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4,0,FALSE,585.805,79,77,249,70,840,94.3,5.19,781.52,77,0,8,119888,116314.4,120959.7,110936.5,106900.7,114778.6,112124.3,116190.9,108902.2,94770.4,95763.5,59987.3,55190.4,61799.1,54279.2,42959.9,60889.6,50864.8,56348.5,50937.2,90526,95763.5,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P26038,Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3,0,FALSE,578.441,84,75,323,57,577,67.8,6.4,984.24,75,0,29,152780.4,157916.5,163356.8,164911.3,153917.8,153003.4,154526.6,158644.4,157434.8,92954.2,94498.9,76445.4,74930.3,83460,80688.1,61854.5,81167.7,70100.4,76936.9,73637.6,88791.1,94498.9,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P49321,Nuclear autoantigenic sperm protein OS=Homo sapiens OX=9606 GN=NASP PE=1 SV=2,0,FALSE,563.386,76,57,191,57,788,85.2,4.3,734.91,57,0,0,71462.4,79076.4,82199.9,81886.3,82191.2,72645.3,79826.3,77205.7,80187.7,48999.5,49581.1,35757,37521.2,41996.4,40065.5,33030,38538,36212.9,37442.1,37506.5,46805,49581.1,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Q15075,Early endosome antigen 1 OS=Homo sapiens OX=9606 GN=EEA1 PE=1 SV=2,0,FALSE,562.182,61,92,151,91,1411,162.4,5.68,539.11,92,0,1,79715.9,85208.7,87489.3,86988.9,84733.9,79799.5,81862.5,84393.8,85147.6,50545.8,50351.6,39886.7,40430.9,44698.9,42562.1,34051.8,42333.3,37136.6,40928,39826.4,48282.1,50351.6,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P00558,Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3,0,FALSE,560.134,96,58,372,58,417,44.6,8.1,1324.57,58,0,0,202469.4,202394.2,197619.8,213817.1,188757.7,201370.8,215320.8,198640.7,194508.2,113629,109747.2,101307.8,96034.6,100965.2,104616.8,75855.6,106826.4,97679.5,96333.8,90978.1,108539.9,109747.2,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P50990,T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4,0,FALSE,558.644,88,58,345,58,548,59.6,5.6,1112.72,58,0,0,174798.4,173352.5,178423.3,173319.7,167485.9,173636.6,172060.1,179009.5,171016.6,122992.1,123711.3,87462.3,82254.6,91157.6,84802.2,67307.1,92113.5,78054.4,86813.3,79990.2,117483.7,123711.3,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Q14315,Filamin-C OS=Homo sapiens OX=9606 GN=FLNC PE=1 SV=3,0,FALSE,550.934,40,97,202,83,2725,290.8,5.97,639.54,97,0,1,85378.8,83544.4,81712.3,83003.4,81674.8,80160.5,79190.9,82333,81967.3,70886.4,71869.6,42720.2,39641.2,41747.3,40612,32822.4,42524.8,35924.7,39928.6,38338.9,67711.6,71869.6,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P68104,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1,0,FALSE,549.179,85,46,415,29,462,50.1,9.01,1332.14,46,0,24,109194.2,108261.2,119457.8,112167.1,110414.7,117459.5,116193.1,114059.5,105674.8,135273.1,133272,54636.5,51369.2,61031.8,54881.3,44372.1,62311.8,52710.6,55314.8,49427.7,129214.7,133272,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P48643,T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1,0,FALSE,548.11,87,67,344,66,541,59.6,5.66,1105.35,67,0,1,201040.9,198508.2,212107.4,205325.4,200482.9,204079.1,208511,214810.1,200067.8,125037.4,123177.7,100593,94190.8,108367,100462,80567.5,108263.1,94590.2,104175.3,93578.5,119437.5,123177.7,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P50395,Rab GDP dissociation inhibitor beta OS=Homo sapiens OX=9606 GN=GDI2 PE=1 SV=2,0,FALSE,547.494,78,50,229,37,445,50.6,6.47,814.54,50,0,19,114685.5,114900.1,115652.5,124934.2,117397.7,111952.7,123422.7,118840.5,120767.5,73251.4,72028.6,57384.2,54519.3,59087.6,61128,47178.3,59390.5,55990.3,57633.5,56487,69970.7,72028.6,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P49368,T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=4,0,FALSE,541.275,74,60,273,60,545,60.5,6.49,979.97,60,0,0,141422.6,138153.6,143832.8,140325.3,135329.1,141241.9,138490.3,144566.2,138338.8,84578.2,85144,70762.3,65552.9,73485.1,68658.6,54384.3,74928.3,62825.6,70109.5,64705.7,80790.3,85144,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P05455,Lupus La protein OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=2,0,FALSE,539.039,84,58,226,58,408,46.8,7.12,721.27,58,0,0,133624.7,133976.1,140515.5,134971.6,133058.5,132278.6,131291,138084.5,130981.8,93564.3,94669.9,66860.6,63570.7,71790.3,66039.1,53471.8,70173.3,59559.7,66966.1,61264.6,89373.9,94669.9,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P78527,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3,0,FALSE,527.631,32,125,192,125,4128,468.8,7.12,480.49,125,0,0,44096.9,42910.5,42806.1,42891.7,43872.8,46480.2,44380.7,27933,40955.6,197470.1,197383.8,22064.4,20360.7,21869.9,20986.1,17631,24657.6,20133.1,13546.5,19156.3,188626.1,197383.8,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P31948,Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1,0,FALSE,520.78,84,85,320,85,543,62.6,6.8,953.94,85,0,0,175459.5,161978.5,167453.7,149510.7,147076.6,162973.3,142963.1,169645.1,151356.3,117132.1,120262.4,87793.1,76857.6,85553.2,73152.9,59105.3,86456.7,64854.7,82271.9,70794.5,111886.2,120262.4,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P13796,Plastin-2 OS=Homo sapiens OX=9606 GN=LCP1 PE=1 SV=6,0,FALSE,520.658,73,49,234,46,627,70.2,5.43,774.14,49,0,3,124109.4,128349.6,128338.1,136614.3,130908.5,124937.4,132966.2,130247.8,135862.5,81803.9,80290.6,62099.5,60901,65568.8,66842.9,52607.8,66278.8,60319.6,63165.6,63547.5,78140.2,80290.6,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P15311,Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4,0,FALSE,520.133,78,74,322,56,586,69.4,6.27,901.89,74,0,4,95337.9,98817.4,104380,101720.6,97188.1,96544.2,96672.4,99126.6,98978.6,60623.8,61326.6,47703.4,46888.1,53328.4,49770,39056.7,51216.3,43855.1,48072.9,46295.6,57908.6,61326.6,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Q16658,Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3,0,FALSE,510.658,80,54,342,54,493,54.5,7.24,1253.67,54,0,0,145258.7,138043.6,138068.4,144389.9,137191.3,139349.6,141897.4,141039,141913.6,85343.9,85658.2,72681.8,65500.7,70540,70647.4,55132.7,73924.4,64371.2,68399,66377.8,81521.6,85658.2,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P14625,Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1,0,FALSE,504.032,62,69,245,67,803,92.4,4.84,829.46,69,0,0,101689.3,105079.8,109758.4,103976,105191.3,104499.4,102513,110023.7,104355.9,78656.4,78825.7,50881.4,49859.6,56076.3,50873.5,42272.9,55436.5,46504.7,53357.6,48810.8,75133.6,78825.7,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P50991,T-complex protein 1 subunit delta OS=Homo sapiens OX=9606 GN=CCT4 PE=1 SV=4,0,FALSE,503.796,85,55,341,54,539,57.9,7.83,1180.28,55,0,0,173620.9,162501.5,171689.2,166030.7,159487.1,168095.9,165349.9,173430.6,163027,100249.2,99151.6,86873.1,77105.8,87717.1,81235.8,64092.6,89174.2,75010.4,84107.7,76253.2,95759.4,99151.6,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P27708,CAD protein OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=3,0,FALSE,503.349,44,79,169,79,2225,242.8,6.46,568.36,79,0,0,50693.9,47309,47925.5,44896.6,49538.8,51876.5,48900.4,46401.3,46408.5,94355.4,92836.5,25365.2,22447.8,24485.4,21967.1,19908,27520.3,22183.5,22503,21706.9,90129.5,92836.5,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Q13263,Transcription intermediary factor 1-beta OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=5,0,FALSE,494.368,80,62,209,62,835,88.5,5.77,693.29,62,0,0,84701.7,80171.6,81324.2,76285.2,76594.9,81305.9,74060.1,79901.4,74639.4,69061.9,69138.2,42381.4,38040.9,41549.1,37324.9,30781,43132.4,33597.1,38749.4,34911.4,65968.9,69138.2,High,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P22102,Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens OX=9606 GN=GART PE=1 SV=1,0,FALSE,493.136,69,67,212,67,1010,107.7,6.7,733.39,67,0,0,71235.8,69071.3,68536.5,71429.2,69643.1,73438.1,78292.9,71920.1,66426.4,133925.2,130624.3,35643.6,32773.9,35015.8,34949,27987.3,38958.6,35517.3,34878.7,31069.9,127927.1,130624.3,High,High,High,High,High,High,High,High,High,High,High,1,
