Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Contaminant,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,# Protein Pathway Groups,# Razor Peptides,"Abundances (Normalized): F7: 126, Sample","Abundances (Normalized): F7: 127N, Sample","Abundances (Normalized): F7: 127C, Sample","Abundances (Normalized): F7: 128N, Sample","Abundances (Normalized): F7: 128C, Sample","Abundances (Normalized): F7: 129N, Sample","Abundances (Normalized): F7: 129C, Sample","Abundances (Normalized): F7: 130N, Sample","Abundances (Normalized): F7: 130C, Sample","Abundances (Normalized): F7: 131N, Sample","Abundances (Normalized): F7: 131C, Sample","Abundance: F7: 126, Sample","Abundance: F7: 127N, Sample","Abundance: F7: 127C, Sample","Abundance: F7: 128N, Sample","Abundance: F7: 128C, Sample","Abundance: F7: 129N, Sample","Abundance: F7: 129C, Sample","Abundance: F7: 130N, Sample","Abundance: F7: 130C, Sample","Abundance: F7: 131N, Sample","Abundance: F7: 131C, Sample","Found in Sample: [S67] F7: 126, Sample","Found in Sample: [S69] F7: 127C, Sample","Found in Sample: [S68] F7: 127N, Sample","Found in Sample: [S71] F7: 128C, Sample","Found in Sample: [S70] F7: 128N, Sample","Found in Sample: [S73] F7: 129C, Sample","Found in Sample: [S72] F7: 129N, Sample","Found in Sample: [S75] F7: 130C, Sample","Found in Sample: [S74] F7: 130N, Sample","Found in Sample: [S77] F7: 131C, Sample","Found in Sample: [S76] F7: 131N, Sample",# Protein Groups
FALSE,High,Master Protein,Q7Z6Z7,E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens OX=9606 GN=HUWE1 PE=1 SV=3,0,FALSE,654.518,32,117,200,117,4374,481.6,5.22,743.03,117,0,0,33521.7,33122.4,32368.1,33847.4,32333.2,31949.8,32841.4,32778.6,33446.9,28772.7,29235.4,14340.3,26923.5,27045.6,31544.7,24532.5,26515.7,24952.6,23644.4,26267.3,28772.7,24942.3,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P04075,Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2,0,FALSE,639.893,96,50,579,39,364,39.4,8.09,2564.86,50,0,13,85245,90190.5,94150.1,88300.4,97444.5,95374.2,92231.2,98894.4,91069.9,61232.2,58236.4,36467,73311.2,78668.4,82293.4,73935.1,79152.7,70076.4,71336.1,71521,61232.2,49684.6,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P78371,T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4,0,FALSE,635.483,86,57,324,57,535,57.5,6.46,1213.99,57,0,0,44192.3,50376.2,52172.7,51799.5,52827,56020.8,52153.5,50649.3,50163.9,34358.9,35412.5,18905.1,40948.2,43593.6,48275.6,40082,46492.7,39625.8,36535.1,39395.8,34358.9,30212.3,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P18206,Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4,0,FALSE,632.569,71,94,258,94,1134,123.7,5.66,907.14,94,0,0,61306.4,58152,57433.9,54647.2,56992.7,56589.2,56695.8,61173.8,60040.6,37579.5,40262,26226.3,47268.7,47989.7,50929.6,43242.7,46964.3,43076.9,44126.8,47152.4,37579.5,34349.7,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P13639,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,0,FALSE,632.215,72,76,411,75,858,95.3,6.83,1398.04,76,0,1,87748.3,98352.9,104900.1,95540.9,105067.3,102983.9,101884.3,103537.7,93937.2,65687.9,67789.4,37537.9,79946,87650.7,89041.3,79718.9,85468.2,77410.7,74685.5,73772.8,65687.9,57834.8,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,0,FALSE,624.268,89,44,490,44,335,36,8.46,1832.39,44,0,0,81515.8,86295.2,92398.7,80384.6,102112.9,91531.7,87052.4,92669.4,83239.6,53175.4,55268.7,34871.8,70144.9,77204.9,74916.1,77477.3,75963.8,66141.6,66845.8,65371.5,53175.4,47152.7,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P35580,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,0,FALSE,617.82,51,104,200,77,1976,228.9,5.54,738.07,104,0,8,23672.2,26233.8,31200.9,26925.9,23214.9,23939.4,23211,40845.6,28145.9,20508.7,22094.9,10126.8,21324.1,26070.3,25094.1,17614.1,19867.8,17635.5,29463.4,22104.2,20508.7,18850.4,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P38646,"Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",0,FALSE,614.223,69,61,310,60,679,73.6,6.16,1118.06,61,0,0,55859.1,62894.3,65802.5,61610.9,68553.1,65717.8,64745.5,67657.5,63984.8,42291.4,44395.3,23896.1,51123.5,54982.2,57419.6,52014,54540.3,49193,48803.8,50249.9,42291.4,37876.1,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q9UM54,Unconventional myosin-VI OS=Homo sapiens OX=9606 GN=MYO6 PE=1 SV=4,0,FALSE,570.849,61,85,199,85,1294,149.6,8.53,701.33,85,0,0,40045.7,41647.2,42379.4,38972.4,42781.1,38147.2,40650.1,42719.2,40865.6,25171.8,25755.8,17131.2,33852.8,35410.7,36321.1,32459.8,31659.1,30885.6,30814.9,32093.5,25171.8,21973.7,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q99832,T-complex protein 1 subunit eta OS=Homo sapiens OX=9606 GN=CCT7 PE=1 SV=2,0,FALSE,569.384,81,48,325,48,543,59.3,7.65,1164.03,48,0,0,55177.7,53694.8,57313.4,54431.6,60212.1,55590.3,55856.8,53650.6,53080.6,36854.6,37033,23604.5,43645.8,47889,50728.7,45685.4,46135.3,42439.5,38700.1,41686.4,36854.6,31594.9,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",0,TRUE,555.653,81,41,492,16,375,41.7,5.48,1882.68,41,0,35,74920,75150.9,81881.5,73572.1,90514.5,83679.9,79889.1,81161.7,74185.2,55146.9,54926.1,32050.1,61086.3,68417.2,68567.1,68677.1,69447.4,60699,58544.9,58260.8,55146.9,46860.4,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q9Y490,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3,0,FALSE,544.365,47,99,181,99,2541,269.6,6.07,605.11,99,0,0,24344.6,22038.8,21036.2,23033.3,21913.3,21961.8,21721.6,17652.1,21156.1,59648.5,62029.8,10414.4,17914.2,17577,21466.3,16626.5,18226.5,16503.9,12733.1,16614.8,59648.5,52921,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P48643,T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1,0,FALSE,521.11,86,60,287,59,541,59.6,5.66,976.66,60,0,1,60918.9,70478.8,72379.1,71446.6,72950.9,73696.8,72385.9,70602,69822.2,46256.9,44996.4,26060.6,57288.6,60477.3,66586.1,55350.9,61162.3,54998.1,50927.7,54834.3,46256.9,38388.9,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P26038,Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3,0,FALSE,521.028,79,69,298,53,577,67.8,6.4,1029.46,69,0,21,57434,62206.4,64201.6,61281.3,65241.4,66736,63016,65868.7,60612.4,38720.5,38841.8,24569.7,50564.4,53644.5,57112.4,49501.3,55385.4,47879,47513.5,47601.5,38720.5,33138.1,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P49368,T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=4,0,FALSE,518.222,74,56,219,56,545,60.5,6.49,821.02,56,0,0,50196,51437.1,54392,52269.5,55807.1,53348.8,53608.6,51432.1,49922.9,33561.5,34639.3,21473.4,41810.5,45448,48713.6,42343.1,44275.1,40731.3,37099.8,39206.5,33561.5,29552.6,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P34932,Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4,0,FALSE,516.25,76,70,224,64,840,94.3,5.19,786.35,70,0,7,43568.3,41672.6,39929.8,40989.5,40188.4,41236.6,40117.4,40623.6,40388.6,42485.1,42801.7,18638.1,33873.5,33363.9,38201,30492.6,34223,30480.8,29303.3,31718.8,42485.1,36516.4,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P0DMV9,Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1,0,FALSE,500.366,73,56,226,32,641,70,5.66,826.25,56,0,18,28055.2,30359.6,31193.7,31496.1,32624.3,32059.6,30711.8,31730.1,30537.7,33689.3,33047.3,12001.8,24677.7,26064.3,29353.4,24753.4,26606.8,23334.5,22888.1,23982.6,33689.3,28194.4,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,O00410,Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4,0,FALSE,498.111,54,55,196,51,1097,123.6,4.94,712.22,55,0,4,35551.8,37842.9,39118.3,36047.6,39925.8,36264.7,38988.2,40324.5,37036.9,25530.1,25706.9,15208.8,30760.5,32685.8,33595.3,30293.3,30096.7,29622.8,29087.5,29086.7,25530.1,21932,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q5T4S7,E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens OX=9606 GN=UBR4 PE=1 SV=1,0,FALSE,497.686,23,106,152,106,5183,573.5,6.04,479.06,106,0,0,20169.4,20530.2,19061,23698.2,18729.4,19216.1,19290.6,16581.7,19737.9,44447.2,45248.6,8628.3,16687.9,15926.6,22086.1,14210.8,15947.8,14656.8,11961,15501,44447.2,38604,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P49321,Nuclear autoantigenic sperm protein OS=Homo sapiens OX=9606 GN=NASP PE=1 SV=2,0,FALSE,480.732,66,52,196,52,788,85.2,4.3,736.56,52,0,0,32764.2,39398.4,40997.2,37886.4,40971.5,37587.1,39472.3,42807.3,39667.2,25094.6,26382.1,14016.2,32024.9,34255.8,35309,31086.7,31194.2,29990.7,30878.4,31152.3,25094.6,22508,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q15075,Early endosome antigen 1 OS=Homo sapiens OX=9606 GN=EEA1 PE=1 SV=2,0,FALSE,480.449,61,91,168,91,1411,162.4,5.68,610.31,91,0,0,35038.3,35058.9,34691.4,33618,34723.7,33795.6,35716,37601.9,37883.7,22000.1,24314.4,14989.1,28497.6,28986.8,31331,26346.3,28047.6,27136.7,27123.6,29751.7,22000.1,20743.9,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P00558,Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3,0,FALSE,476.314,95,48,343,48,417,44.6,8.1,1322.03,48,0,0,74387.1,82100.3,85098.4,77414.5,90958.3,84440.4,82023.3,86453.7,80699.2,47528.8,47952,31822.2,66735.1,71105.1,72148,69013.8,70078.5,62320.5,62362.2,63376.5,47528.8,40910.5,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P10809,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",0,FALSE,471.449,80,56,243,56,573,61,5.87,893.11,56,0,0,30499,33760.7,35236.5,37537.7,35144.6,38120.8,34252,30893.4,34187.9,59387.2,60001.7,13047.2,27442.3,29442.3,34984.1,26665.6,31637.1,26024.4,22284.5,26849.2,59387.2,51190.7,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q14315,Filamin-C OS=Homo sapiens OX=9606 GN=FLNC PE=1 SV=3,0,FALSE,471.249,38,88,184,74,2725,290.8,5.97,640.4,88,0,14,33471.3,31147.9,31043.9,30746.8,30707.8,30293.3,30623,30773,31259.3,29115.7,30746.6,14318.7,25318.5,25939.2,28655.1,23299.3,25140.9,23267,22197.7,24549.2,29115.7,26231.6,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P46821,Microtubule-associated protein 1B OS=Homo sapiens OX=9606 GN=MAP1B PE=1 SV=2,0,FALSE,461.904,42,79,139,76,2468,270.5,4.81,489.23,79,0,3,21270,24672.4,24500.5,25450.6,23416.8,23555.3,24722,24402.5,25344.8,18295.1,18574.2,9099.1,20054.9,20471.7,23719.2,17767.3,19549,18783.6,17602.4,19904.4,18295.1,15846.7,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,O43707,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,0,FALSE,451.185,71,66,190,47,911,104.8,5.44,703.78,66,0,23,31451.7,30843.3,31668.5,29348.5,31912.7,29313,30760.2,31956.1,31141.6,19854.5,20580.1,13454.8,25070.9,26461,27351.9,24213.5,24327.4,23371.3,23051.1,24456.8,19854.5,17558,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P50990,T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4,0,FALSE,449.714,81,48,299,48,548,59.6,5.6,1062.35,48,0,0,54996.9,55918.4,56421.7,56001.3,56309,55268.1,55697.2,56106.8,55788.4,40501.4,40728.3,23527.2,45453.2,47143.9,52191.6,42723.9,45868,42318.2,40471.9,43812.9,40501.4,34747.5,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q16531,DNA damage-binding protein 1 OS=Homo sapiens OX=9606 GN=DDB1 PE=1 SV=1,0,FALSE,449.345,52,60,190,60,1140,126.9,5.26,710.78,60,0,0,44628.7,46268.8,47238,44496.8,47567.3,44562.8,46435.3,47257.8,45322.6,29694.6,29226.6,19091.8,37609.5,39470.3,41469.7,36091.3,36983.4,35281.1,34088.7,35593.7,29694.6,24934.8,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P50395,Rab GDP dissociation inhibitor beta OS=Homo sapiens OX=9606 GN=GDI2 PE=1 SV=2,0,FALSE,448.278,84,49,230,38,445,50.6,6.47,866.13,49,0,14,52173.4,54651.6,56906.4,53747.4,60444,56573.6,56309.6,58321.8,53798.3,36239.6,36059.3,22319.3,44423.4,47548.9,50091,45861.4,46951.4,42783.5,42069.6,42250,36239.6,30764.2,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,Q92945,Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4,0,FALSE,446.419,65,46,163,39,711,73.1,7.3,630.32,46,0,7,28412.9,29728.5,27684.9,28528.8,26376.1,32233.5,31067.7,31933.7,31483,18575.3,18871.1,12154.8,24164.8,23132.4,26588,20012.7,26751.2,23604.9,23034.9,24724.9,18575.3,16099.9,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P30613,Pyruvate kinase PKLR OS=Homo sapiens OX=9606 GN=PKLR PE=1 SV=2,0,FALSE,442.093,77,46,265,43,574,61.8,7.74,923.64,46,0,0,40707.1,38320.8,38929,37209.3,39122.4,39008,38873.9,39686,38324.7,25350.8,25761.3,17414.1,31149,32527.6,34678,29683.8,32373.4,29536,28626.9,30098,25350.8,21978.4,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P55072,Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4,0,FALSE,440.681,72,60,191,60,806,89.3,5.26,687.79,60,0,0,37915.6,38023,38086.8,37183.9,38896.6,38316,38760.3,38534,38044.5,24306.5,24197.7,16220,30907,31823.9,34654.3,29512.4,31799.1,29449.7,27796,29878,24306.5,20644.3,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P29401,Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3,0,FALSE,436.888,71,41,210,41,623,67.8,7.66,811.07,41,0,0,40792,44058.5,46283,43181.3,47024.1,47053.1,45971.2,46196.9,44619.4,26829.3,26811.5,17450.5,35812.9,38672.4,40243.7,35679.1,39050.2,34928.5,33323.5,35041.5,26829.3,22874.4,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P50851,Lipopolysaccharide-responsive and beige-like anchor protein OS=Homo sapiens OX=9606 GN=LRBA PE=1 SV=4,0,FALSE,430.77,31,79,155,73,2863,318.9,5.6,522.18,79,0,7,28050.9,24841.6,25250.3,26883.5,25180.7,25618.2,25747.2,27260.5,26313.7,24495.4,25312.5,11999.9,20192.5,21098.3,25054.6,19105.6,21261,19562.5,19664,20665.2,24495.4,21595.4,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P49588,"Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2",0,FALSE,430.691,56,57,212,57,968,106.7,5.53,681.16,57,0,0,39055.9,37787.2,37039.3,39031.2,36256.5,39632.7,37271.2,39994.5,39710,33983.9,34579.4,16707.8,30715.2,30948.7,36376,27509.3,32891.9,28318.3,28849.5,31185.9,33983.9,29501.6,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P27816,Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3,0,FALSE,428.444,65,66,171,66,1152,120.9,5.43,571.14,66,0,0,39628.2,41528.3,38752.4,41734.7,37638.8,40951.1,40461,40429.5,42059.4,25743.4,25031,16952.6,33756.2,32380.1,38895.5,28558.1,33986,30741.9,29163.2,33031,25743.4,21355.3,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P17987,T-complex protein 1 subunit alpha OS=Homo sapiens OX=9606 GN=TCP1 PE=1 SV=1,0,FALSE,423.887,77,40,266,40,556,60.3,6.11,957.48,40,0,0,42017.3,48466.4,49277.6,48388.7,50080.7,49601.3,48877.9,48950.4,48747.2,31899.9,31667.1,17974.6,39395.8,41174.6,45096.9,37998.3,41165,37136.9,35309.7,38283.2,31899.9,27016.9,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P07814,Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5,0,FALSE,413.17,47,67,129,67,1512,170.5,7.33,419.09,67,0,0,14679.7,15275.7,14178.3,18797.2,14385.9,14855.6,13954.7,9473.6,13840,65927.9,64533.6,6279.9,12416.8,11846.9,17518.4,10915.2,12329,10602.6,6833.7,10869.2,65927.9,55057.1,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P50991,T-complex protein 1 subunit delta OS=Homo sapiens OX=9606 GN=CCT4 PE=1 SV=4,0,FALSE,405.259,81,45,221,44,539,57.9,7.83,766.76,45,0,0,49511.1,47892.9,48471.9,47011.6,48277.4,47617.9,49175.8,46605.9,46932.9,30784.9,30884.2,21180.4,38929.6,40501.3,43813.4,36630,39518.9,37363.3,33618.5,36858.3,30784.9,26348.9,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P31948,Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1,0,FALSE,402.194,78,69,227,69,543,62.6,6.8,714.22,69,0,0,50413.3,54692.8,50699.9,62805.3,49346.2,60042.9,54499.7,51826.4,56385.7,63817.5,62644.9,21566.4,44456.9,42362.9,58532.7,37441,49830.7,41408.4,37384.3,44282.1,63817.5,53445.7,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P13796,Plastin-2 OS=Homo sapiens OX=9606 GN=LCP1 PE=1 SV=6,0,FALSE,401.298,67,40,215,39,627,70.2,5.43,756.11,40,0,2,49956.7,51340.6,53064.2,48512.4,53907.7,47815.6,52161.5,53847.6,49480.4,30072.9,30027.3,21371,41732.1,44338.5,45212.2,40902,39683,39631.8,38842.2,38859,30072.9,25617.9,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,P53396,ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3,0,FALSE,400.356,57,63,201,63,1101,120.8,7.33,691.77,63,0,0,42231.4,45002.8,43509.1,46752.6,42238.6,44181.2,44956.3,41996.4,41057.6,52243,53407.4,18066.2,36580.4,36354.6,43572,32048.1,36666.8,34157.4,30293.5,32244.2,52243,45564.7,High,High,High,High,High,High,High,High,High,High,High,1
